image_id,image_path,macro_stage,parent_image_id,field_id,capture_session,country,cover,panicle_frac,senescent_frac,review_flag,source,split
IMG_5014_subset_overlap_0_4,segmentation/China/GD/rgb/IMG_5014_subset_overlap_0_4.jpg,reproductive,China/GD/IMG_5014,riceseg:China/GD/IMG_5014,China/GD,China,0.5327,0.2387,0.0265,1,riceseg,unassigned
IMG_5014_subset_overlap_2_0,segmentation/China/GD/rgb/IMG_5014_subset_overlap_2_0.jpg,reproductive,China/GD/IMG_5014,riceseg:China/GD/IMG_5014,China/GD,China,0.6558,0.0826,0.0011,1,riceseg,unassigned
IMG_5014_subset_overlap_3_2,segmentation/China/GD/rgb/IMG_5014_subset_overlap_3_2.jpg,reproductive,China/GD/IMG_5014,riceseg:China/GD/IMG_5014,China/GD,China,0.9481,0.1729,0.0024,1,riceseg,unassigned
IMG_5022_subset_overlap_1_0,segmentation/China/GD/rgb/IMG_5022_subset_overlap_1_0.jpg,reproductive,China/GD/IMG_5022,riceseg:China/GD/IMG_5022,China/GD,China,0.9681,0.0884,0.0041,1,riceseg,unassigned
IMG_5022_subset_overlap_2_2,segmentation/China/GD/rgb/IMG_5022_subset_overlap_2_2.jpg,reproductive,China/GD/IMG_5022,riceseg:China/GD/IMG_5022,China/GD,China,0.948,0.0951,0.0001,1,riceseg,unassigned
IMG_5022_subset_overlap_3_0,segmentation/China/GD/rgb/IMG_5022_subset_overlap_3_0.jpg,reproductive,China/GD/IMG_5022,riceseg:China/GD/IMG_5022,China/GD,China,0.9029,0.0902,0.01,1,riceseg,unassigned
IMG_5022_subset_overlap_4_0,segmentation/China/GD/rgb/IMG_5022_subset_overlap_4_0.jpg,reproductive,China/GD/IMG_5022,riceseg:China/GD/IMG_5022,China/GD,China,0.9505,0.0592,0.0068,1,riceseg,unassigned
IMG_5024_subset_overlap_1_3,segmentation/China/GD/rgb/IMG_5024_subset_overlap_1_3.jpg,reproductive,China/GD/IMG_5024,riceseg:China/GD/IMG_5024,China/GD,China,0.9484,0.0281,0.0161,1,riceseg,unassigned
IMG_5027_subset_overlap_0_1,segmentation/China/GD/rgb/IMG_5027_subset_overlap_0_1.jpg,stem_booting,China/GD/IMG_5027,riceseg:China/GD/IMG_5027,China/GD,China,0.9396,0.0,0.0001,0,riceseg,unassigned
IMG_5027_subset_overlap_0_6,segmentation/China/GD/rgb/IMG_5027_subset_overlap_0_6.jpg,stem_booting,China/GD/IMG_5027,riceseg:China/GD/IMG_5027,China/GD,China,0.9549,0.0128,0.009,1,riceseg,unassigned
IMG_5027_subset_overlap_2_0,segmentation/China/GD/rgb/IMG_5027_subset_overlap_2_0.jpg,reproductive,China/GD/IMG_5027,riceseg:China/GD/IMG_5027,China/GD,China,0.9221,0.0669,0.0152,1,riceseg,unassigned
IMG_5027_subset_overlap_3_4,segmentation/China/GD/rgb/IMG_5027_subset_overlap_3_4.jpg,reproductive,China/GD/IMG_5027,riceseg:China/GD/IMG_5027,China/GD,China,0.8951,0.105,0.0217,1,riceseg,unassigned
IMG_5028_subset_overlap_2_3,segmentation/China/GD/rgb/IMG_5028_subset_overlap_2_3.jpg,reproductive,China/GD/IMG_5028,riceseg:China/GD/IMG_5028,China/GD,China,0.9231,0.0704,0.0085,1,riceseg,unassigned
IMG_5028_subset_overlap_4_6,segmentation/China/GD/rgb/IMG_5028_subset_overlap_4_6.jpg,reproductive,China/GD/IMG_5028,riceseg:China/GD/IMG_5028,China/GD,China,0.9195,0.1098,0.0051,1,riceseg,unassigned
