image_id,image_path,parent_image_id,field_id,capture_session,capture_date,season,variety,days_after_sowing,bbch_code,macro_stage,source,license,annotator_1,annotator_2,adjudicated_label,split
00771_subset_overlap_0_1,02_tillering/00771_subset_overlap_0_1.jpg,tillering:unknown:00771,tillering:unknown:00771,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00771_subset_overlap_1_0,02_tillering/00771_subset_overlap_1_0.jpg,tillering:unknown:00771,tillering:unknown:00771,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00771_subset_overlap_1_1,02_tillering/00771_subset_overlap_1_1.jpg,tillering:unknown:00771,tillering:unknown:00771,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,train
00782_subset_overlap_0_0,02_tillering/00782_subset_overlap_0_0.jpg,tillering:unknown:00782,tillering:unknown:00782,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,test
00782_subset_overlap_0_1,02_tillering/00782_subset_overlap_0_1.jpg,tillering:unknown:00782,tillering:unknown:00782,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,test
00782_subset_overlap_1_0,02_tillering/00782_subset_overlap_1_0.jpg,tillering:unknown:00782,tillering:unknown:00782,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,test
00782_subset_overlap_1_1,02_tillering/00782_subset_overlap_1_1.jpg,tillering:unknown:00782,tillering:unknown:00782,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,test
00793_subset_overlap_0_0,02_tillering/00793_subset_overlap_0_0.jpg,tillering:unknown:00793,tillering:unknown:00793,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00793_subset_overlap_0_1,02_tillering/00793_subset_overlap_0_1.jpg,tillering:unknown:00793,tillering:unknown:00793,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00793_subset_overlap_1_0,02_tillering/00793_subset_overlap_1_0.jpg,tillering:unknown:00793,tillering:unknown:00793,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00793_subset_overlap_1_1,02_tillering/00793_subset_overlap_1_1.jpg,tillering:unknown:00793,tillering:unknown:00793,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00804_subset_overlap_0_0,02_tillering/00804_subset_overlap_0_0.jpg,tillering:unknown:00804,tillering:unknown:00804,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00804_subset_overlap_0_1,02_tillering/00804_subset_overlap_0_1.jpg,tillering:unknown:00804,tillering:unknown:00804,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00804_subset_overlap_1_0,02_tillering/00804_subset_overlap_1_0.jpg,tillering:unknown:00804,tillering:unknown:00804,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
00804_subset_overlap_1_1,02_tillering/00804_subset_overlap_1_1.jpg,tillering:unknown:00804,tillering:unknown:00804,unknown,,unknown,unknown,,20-29,tillering,stage_folder,user_provided,,,tillering,validation
